Plot,Elevation,Year,Taxon,Shade Tolerance,Fire Tolerance,Biogeographical Association,Layer,Class,OG_Cover,Med_Cover,Mono_Cover
B60,2316,1969,Antennaria rosea,I,NA,N,herb,3,NA,5.5,7
B05,2377,1969,Antennaria rosea,I,NA,N,herb,3,NA,5.5,7
B83,1966,2024,Antennaria rosea,I,NA,N,herb,2,0.2,0.5,3
A55,2038,2024,Antennaria rosea,I,NA,N,herb,2,0.2,0.5,3
B19,2140,2024,Antennaria rosea,I,NA,N,herb,2,0.2,0.5,3
B09,2178,2024,Antennaria rosea,I,NA,N,herb,2,0.2,0.5,3
B08,2212,2024,Antennaria rosea,I,NA,N,herb,2,0.2,0.5,3
A31,1433,1969,Apocynum androsaemifolium,I,H,NA,herb,3,NA,5.5,7
A13,1524,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
A54,1524,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
A23,1548,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
A53,1615,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
A52,1646,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
B72,1737,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
B50,1753,1969,Apocynum androsaemifolium,I,H,NA,herb,3,NA,5.5,7
A50,1798,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
B27,1798,1969,Apocynum androsaemifolium,I,H,NA,herb,3,NA,5.5,7
A35,1829,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
B74,1829,1969,Apocynum androsaemifolium,I,H,NA,herb,3,NA,5.5,7
B43,1859,1969,Apocynum androsaemifolium,I,H,NA,herb,3,NA,5.5,7
A91,1905,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
B76,1905,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
B77,1905,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
B52,1920,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
B57,1951,1969,Apocynum androsaemifolium,I,H,NA,herb,3,NA,5.5,7
B24,1981,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
A93,1996,1969,Apocynum androsaemifolium,I,H,NA,herb,3,NA,5.5,7
B86,2012,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
B36,2103,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
B20,2118,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
B39,2118,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
B35,2164,1969,Apocynum androsaemifolium,I,H,NA,herb,2,NA,0.5,3
A14,1668,2024,Apocynum androsaemifolium,I,H,NA,herb,2,0.2,0.5,3
B78,1774,2024,Apocynum androsaemifolium,I,H,NA,herb,1,0.2,0.2,1
B74,1793,2024,Apocynum androsaemifolium,I,H,NA,herb,2,0.2,0.5,3
A50,1803,2024,Apocynum androsaemifolium,I,H,NA,herb,2,0.2,0.5,3
B77,1868,2024,Apocynum androsaemifolium,I,H,NA,herb,2,0.2,0.5,3
B43,1885,2024,Apocynum androsaemifolium,I,H,NA,herb,2,1,0.5,3
B57,1907,2024,Apocynum androsaemifolium,I,H,NA,herb,2,0.2,0.5,3
B56,1920,2024,Apocynum androsaemifolium,I,H,NA,herb,1,0.2,0.2,1
B25,1962,2024,Apocynum androsaemifolium,I,H,NA,herb,2,0.2,0.5,3
B86,1981,2024,Apocynum androsaemifolium,I,H,NA,herb,2,0.2,0.5,3
A82,1992,2024,Apocynum androsaemifolium,I,H,NA,herb,1,0.2,0.2,1
A38,2048,2024,Apocynum androsaemifolium,I,H,NA,herb,2,0.2,0.5,3
B30,2233,2024,Apocynum androsaemifolium,I,H,NA,herb,2,0.2,0.5,3
A33,1615,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
A53,1615,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
A24,1618,1969,Arctostaphylos nevadensis,H,NA,N,shrub,2,NA,0.5,3
A51,1646,1969,Arctostaphylos nevadensis,H,NA,N,shrub,2,NA,0.5,3
B72,1737,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B50,1753,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
A34,1783,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B78,1821,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
A89,1829,1969,Arctostaphylos nevadensis,H,NA,N,shrub,2,NA,0.5,3
A35,1829,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B74,1829,1969,Arctostaphylos nevadensis,H,NA,N,shrub,4,NA,17.5,17.5
A92,1844,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B25,1890,1969,Arctostaphylos nevadensis,H,NA,N,shrub,4,NA,17.5,17.5
B77,1905,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
A91,1905,1969,Arctostaphylos nevadensis,H,NA,N,shrub,4,NA,17.5,17.5
B56,1920,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B52,1920,1969,Arctostaphylos nevadensis,H,NA,N,shrub,4,NA,17.5,17.5
A47,1951,1969,Arctostaphylos nevadensis,H,NA,N,shrub,2,NA,0.5,3
B57,1951,1969,Arctostaphylos nevadensis,H,NA,N,shrub,4,NA,17.5,17.5
A17,1981,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B24,1981,1969,Arctostaphylos nevadensis,H,NA,N,shrub,4,NA,17.5,17.5
B59,1981,1969,Arctostaphylos nevadensis,H,NA,N,shrub,4,NA,17.5,17.5
A83,1993,1969,Arctostaphylos nevadensis,H,NA,N,shrub,2,NA,0.5,3
B84,1996,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
A93,1996,1969,Arctostaphylos nevadensis,H,NA,N,shrub,6,NA,62.5,62.5
B49,2012,1969,Arctostaphylos nevadensis,H,NA,N,shrub,2,NA,0.5,3
B22,2012,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B85,2042,1969,Arctostaphylos nevadensis,H,NA,N,shrub,2,NA,0.5,3
A81,2045,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B37,2073,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
A94,2103,1969,Arctostaphylos nevadensis,H,NA,N,shrub,2,NA,0.5,3
B39,2118,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
C01,2118,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
A66,2140,1969,Arctostaphylos nevadensis,H,NA,N,shrub,2,NA,0.5,3
A62,2146,1969,Arctostaphylos nevadensis,H,NA,N,shrub,2,NA,0.5,3
A79,2164,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B19,2164,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B33,2164,1969,Arctostaphylos nevadensis,H,NA,N,shrub,5,NA,37.5,37.5
B35,2164,1969,Arctostaphylos nevadensis,H,NA,N,shrub,6,NA,62.5,62.5
A71,2188,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B66,2195,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B31,2210,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
A19,2225,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B10,2225,1969,Arctostaphylos nevadensis,H,NA,N,shrub,4,NA,17.5,17.5
A96,2225,1969,Arctostaphylos nevadensis,H,NA,N,shrub,6,NA,62.5,62.5
B30,2234,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B34,2240,1969,Arctostaphylos nevadensis,H,NA,N,shrub,5,NA,37.5,37.5
B11,2256,1969,Arctostaphylos nevadensis,H,NA,N,shrub,2,NA,0.5,3
B81,2256,1969,Arctostaphylos nevadensis,H,NA,N,shrub,2,NA,0.5,3
A40,2256,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B17,2256,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
A73,2262,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
A69,2268,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B16,2316,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B60,2316,1969,Arctostaphylos nevadensis,H,NA,N,shrub,4,NA,17.5,17.5
B12,2362,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
B06,2377,1969,Arctostaphylos nevadensis,H,NA,N,shrub,5,NA,37.5,37.5
B61,2408,1969,Arctostaphylos nevadensis,H,NA,N,shrub,5,NA,37.5,37.5
B14,2469,1969,Arctostaphylos nevadensis,H,NA,N,shrub,3,NA,5.5,7
A52,1589,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,7,5.5,7
A33,1632,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,1,0.5,3
A01,1760,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,0.2,0.5,3
A34,1768,2024,Arctostaphylos nevadensis,H,NA,N,shrub,4,10,17.5,17.5
B78,1774,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,2,5.5,7
A26,1781,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,0.2,0.5,3
B72,1786,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,0.2,0.5,3
B77,1868,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,2,5.5,7
A90,1876,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,0.2,0.5,3
B57,1907,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,2,5.5,7
B52,1913,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,2,5.5,7
B56,1920,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,2,5.5,7
A86,1921,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,4,5.5,7
A85,1940,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,3,0.5,3
A47,1950,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,0.2,0.5,3
B24,1953,2024,Arctostaphylos nevadensis,H,NA,N,shrub,4,10,17.5,17.5
A83,1960,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,2,0.5,3
B25,1962,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,4,5.5,7
B84,1963,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,1,0.5,3
B86,1981,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,0.2,0.5,3
A81,2004,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,2,5.5,7
B22,2005,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,3,5.5,7
A70,2027,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,2,5.5,7
B85,2032,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,4,5.5,7
A93,2043,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,2,5.5,7
B40,2052,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,0.2,0.5,3
B21,2059,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,2,5.5,7
B58,2075,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,5,5.5,7
A94,2094,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,1,0.5,3
B59,2107,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,7,5.5,7
B03,2110,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,0.2,0.5,3
B33,2139,2024,Arctostaphylos nevadensis,H,NA,N,shrub,4,12,17.5,17.5
B19,2140,2024,Arctostaphylos nevadensis,H,NA,N,shrub,4,12,17.5,17.5
B65,2142,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,0.2,0.5,3
A71,2142,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,3,5.5,7
C01,2162,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,1,0.5,3
A69,2172,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,0.2,0.5,3
B35,2178,2024,Arctostaphylos nevadensis,H,NA,N,shrub,4,10,17.5,17.5
B66,2181,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,8,5.5,7
B81,2190,2024,Arctostaphylos nevadensis,H,NA,N,shrub,4,12,17.5,17.5
B34,2212,2024,Arctostaphylos nevadensis,H,NA,N,shrub,4,16,17.5,17.5
A72,2225,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,1,0.5,3
B10,2225,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,7,5.5,7
B29,2232,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,6,5.5,7
B04,2243,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,3,5.5,7
A61,2248,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,4,5.5,7
B17,2261,2024,Arctostaphylos nevadensis,H,NA,N,shrub,4,21,17.5,17.5
A19,2263,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,7,5.5,7
A73,2274,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,7,5.5,7
A96,2280,2024,Arctostaphylos nevadensis,H,NA,N,shrub,4,15,17.5,17.5
B60,2283,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,4,5.5,7
A40,2285,2024,Arctostaphylos nevadensis,H,NA,N,shrub,3,6,5.5,7
A67,2303,2024,Arctostaphylos nevadensis,H,NA,N,shrub,1,0.2,0.2,1
B11,2310,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,0.2,0.5,3
B16,2322,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,0.2,0.5,3
B06,2333,2024,Arctostaphylos nevadensis,H,NA,N,shrub,5,35,37.5,37.5
B12,2414,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,0.2,0.5,3
B14,2477,2024,Arctostaphylos nevadensis,H,NA,N,shrub,2,0.2,0.5,3
A13,1524,1969,Arctostaphylos patula,I,NA,N,shrub,3,NA,5.5,7
A54,1524,1969,Arctostaphylos patula,I,NA,N,shrub,3,NA,5.5,7
